날짜,전국,서울,경기,인천,부산,대구,광주,대전,울산,세종,강원,충북,충남,전북,전남,경북,경남,제주
2003-11-30,63.23169436,61.63580891,66.78901354,67.05558561,59.82497241,61.74651162,58.33963792,75.44376635,51.52623245,,63.66311126,59.26586121,73.29966637,56.26428852,62.02249019,63.90194974,60.63340332,53.41932501
2003-12-31,62.87136878,61.16920578,66.49583648,66.60118993,59.33956757,61.13110453,58.01027247,74.59002367,51.14420275,,63.92675918,59.09456471,73.17631642,56.29506654,61.94754714,63.81905619,60.40417126,53.34079668
2004-01-31,62.71982024,60.9866426,66.23180678,66.44045985,59.19651241,60.88254188,57.89501841,74.86893132,51.05622728,,64.22191346,59.22897957,73.30321135,56.31048777,61.8837328,63.53184877,60.23889854,53.44285431
2004-02-29,62.93091363,61.35028933,66.32521333,66.55236619,59.1744199,60.98633404,58.06001399,75.57055042,51.2223313,,64.85448988,59.54440209,74.35645133,56.60882566,61.77673447,63.63107192,60.46785442,53.3835312
2004-03-31,63.18175407,61.67095466,66.50388575,66.63165411,59.27465926,61.30451223,58.15481566,75.99456398,51.62125761,,65.51151888,59.83849715,75.18287006,57.13416286,61.59610504,63.80690751,60.79035885,53.33312767
2004-04-30,63.4497998,62.07500487,66.68595195,66.78268673,59.42688852,61.42744108,58.29852423,76.59654133,52.12019003,,65.64744669,60.16235572,75.95397463,57.39442328,61.60232565,64.0148435,61.13204644,53.49443012
2004-05-31,63.52455441,62.19678835,66.57688269,66.76790345,59.46413462,61.4452257,58.28562006,77.45993652,52.69890982,,66.02534374,60.41402758,75.90547848,57.51725739,61.55516464,63.98713489,61.34422623,53.46069564
2004-06-30,63.4615756,62.07485985,66.30648705,66.69821414,59.3802984,61.42493352,58.53938843,77.91367467,52.80819689,,66.28249901,60.86790751,75.6278286,57.63602763,61.5023086,63.92414231,61.44803265,53.42474299
2004-07-31,63.36686781,61.89457926,66.00980757,66.80048678,59.08983907,61.46830725,58.66733068,78.11089745,52.90807822,,66.57786834,61.33187703,75.53588379,57.75858568,61.46241574,63.83433034,61.62337604,53.14930954
2004-08-31,63.16940012,61.52983627,65.62569488,66.47365052,58.90766856,61.38964025,58.73976108,78.2004276,52.87387494,,67.05696908,61.72310541,74.70996784,58.09650191,61.72204073,63.87438516,61.6062621,53.14930954
