날짜,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2006-01-31,62.0,60.5,49.8,62.6,62.3,54.2,75.7,48.9,69.6,69.2,61.3,65.3,75.6,57.2,51.0,66.1,63.0,38.7
2006-02-28,62.7,61.6,49.5,62.8,62.7,53.9,75.2,49.0,69.6,70.5,61.9,66.4,76.3,57.5,50.6,66.1,62.9,37.6
2006-03-31,63.3,63.0,49.1,62.6,63.1,53.8,74.5,49.8,72.7,71.4,60.1,66.9,77.2,58.2,51.1,66.2,63.2,35.8
2006-04-30,63.8,63.9,48.7,62.5,63.6,53.7,73.9,50.4,69.5,72.2,60.9,67.7,77.1,58.5,51.4,66.0,62.8,36.0
2006-05-31,64.1,64.0,48.3,62.1,64.1,53.0,73.4,51.7,72.1,73.2,62.0,67.4,75.2,58.6,52.6,66.0,62.7,36.5
2006-06-30,64.7,64.2,48.4,61.8,64.7,54.0,73.3,52.9,71.9,73.7,62.7,67.9,77.1,60.3,53.8,68.5,62.9,37.4
2006-07-31,65.0,64.7,48.7,61.1,64.9,54.0,73.0,53.6,71.8,74.4,61.8,67.4,77.2,60.2,53.8,68.5,62.7,38.5
2006-08-31,66.0,65.9,48.6,61.5,65.7,54.4,73.0,54.8,72.2,75.8,62.1,68.1,77.1,60.7,54.7,70.0,64.1,38.9
2006-09-30,67.1,67.1,48.6,61.5,66.3,54.2,73.3,57.2,67.3,77.9,62.5,68.0,77.4,61.0,54.9,70.6,64.2,38.4
2006-10-31,69.7,70.1,48.5,61.5,67.9,54.4,73.2,58.9,69.4,82.8,62.0,68.1,76.7,61.8,55.1,71.1,64.4,38.7
2006-11-30,72.4,72.8,48.8,61.5,71.0,54.0,73.7,60.8,71.1,88.1,61.4,68.1,76.7,62.2,55.9,71.4,65.4,38.3
2006-12-31,73.1,73.6,48.5,61.0,73.8,53.8,73.5,62.2,67.4,89.4,60.6,68.3,75.8,62.3,56.0,71.3,64.7,39.1
2007-01-31,74.6,75.4,49.0,61.4,76.4,54.4,73.7,65.0,72.6,91.6,61.5,68.8,77.3,63.5,57.1,73.4,66.6,39.2
2007-02-28,74.5,75.3,49.0,61.2,76.9,54.9,73.5,65.8,71.6,91.4,61.6,68.8,77.2,64.0,57.3,73.6,67.2,38.5
2007-03-31,74.9,76.0,49.4,61.6,78.2,54.9,73.2,67.6,74.0,91.9,61.5,68.7,77.9,63.9,57.2,74.2,66.9,39.7
2007-04-30,74.6,75.5,49.5,60.9,79.0,54.3,72.4,67.8,72.3,91.4,62.0,69.3,78.2,63.5,58.3,74.9,66.6,38.8
2007-05-31,74.0,74.4,49.3,60.1,80.1,54.3,72.2,65.9,71.0,90.5,62.0,68.9,77.3,63.8,57.9,74.6,66.6,39.5
